Time,Transfer (GBytes),Bandwidth (Gbits/sec)
00:00:00,1.07,9.21
00:00:01,1.2,10.3
00:00:02,1.14,9.75
00:00:03,1.03,8.81
00:00:04,1.19,10.2
00:00:05,1.18,10.1
00:00:06,1.19,10.2
00:00:07,1.18,10.2
00:00:08,1.23,10.5
00:00:09,1.14,9.8
00:00:10,1.16,9.96
00:00:11,1.16,10.0
00:00:12,1.2,10.3
00:00:13,1.21,10.4
00:00:14,1.2,10.3
00:00:15,1.17,10.1
00:00:16,1.14,9.78
00:00:17,1.15,9.9
00:00:18,1.17,10.1
00:00:19,1.16,9.96
00:00:20,1.14,9.77
00:00:21,1.13,9.7
00:00:22,1.14,9.75
00:00:23,1.23,10.5
00:00:24,1.14,9.82
00:00:25,1.16,9.98
00:00:26,1.11,9.53
00:00:27,1.12,9.66
00:00:28,1.15,9.85
00:00:29,1.14,9.79
00:00:30,1.11,9.53
00:00:31,1.2,10.3
00:00:32,1.16,9.92
00:00:33,1.2,10.3
00:00:34,1.12,9.63
00:00:35,1.22,10.5
00:00:36,1.18,10.2
00:00:37,1.17,10.1
00:00:38,1.07,9.19
00:00:39,1.14,9.77
00:00:40,1.0,8.61
00:00:41,1.11,9.5
00:00:42,1.13,9.68
00:00:43,1.11,9.57
00:00:44,1.13,9.69
00:00:45,1.08,9.27
00:00:46,1.14,9.78
00:00:47,1.11,9.57
00:00:48,1.13,9.69
00:00:49,1.13,9.74
00:00:50,1.1,9.46
00:00:51,1.16,9.93
00:00:52,1.13,9.73
00:00:53,1.15,9.88
00:00:54,1.07,9.21
00:00:55,1.15,9.89
00:00:56,1.11,9.51
00:00:57,1.11,9.54
00:00:58,1.13,9.72
00:00:59,1.13,9.7
00:01:00,1.13,9.7
00:01:01,1.16,9.94
00:01:02,1.13,9.67
00:01:03,1.1,9.42
00:01:04,1.12,9.6
00:01:05,1.13,9.68
00:01:06,1.16,9.94
00:01:07,1.15,9.91
00:01:08,1.18,10.1
00:01:09,1.11,9.55
00:01:10,1.18,10.1
00:01:11,1.18,10.2
00:01:12,1.18,10.1
00:01:13,1.2,10.3
00:01:14,1.19,10.2
00:01:15,1.2,10.3
00:01:16,1.17,10.0
00:01:17,1.11,9.5
00:01:18,1.09,9.34
00:01:19,1.12,9.61
00:01:20,1.13,9.67
00:01:21,1.11,9.55
00:01:22,1.16,9.99
00:01:23,1.14,9.81
00:01:24,1.14,9.82
00:01:25,1.14,9.78
00:01:26,1.16,9.92
00:01:27,1.14,9.8
00:01:28,1.16,10.0
00:01:29,1.2,10.3
00:01:30,1.13,9.7
00:01:31,1.06,9.15
00:01:32,1.06,9.12
00:01:33,1.05,8.99
00:01:34,1.12,9.6
00:01:35,1.12,9.66
00:01:36,1.14,9.75
00:01:37,1.13,9.73
00:01:38,1.16,9.96
00:01:39,1.08,9.27
00:01:40,1.08,9.28
00:01:41,1.03,8.88
00:01:42,1.11,9.5
00:01:43,1.13,9.75
00:01:44,1.12,9.6
00:01:45,1.13,9.7
00:01:46,1.07,9.2
00:01:47,1.09,9.32
00:01:48,1.06,9.15
00:01:49,1.09,9.34
00:01:50,1.08,9.29
00:01:51,1.12,9.61
00:01:52,1.15,9.87
00:01:53,1.1,9.42
00:01:54,1.09,9.36
00:01:55,1.07,9.2
00:01:56,1.05,9.06
00:01:57,1.17,10.0
00:01:58,1.12,9.66
00:01:59,1.15,9.89
00:02:00,0.6828737602805428,0.7577535344252073
00:02:01,0.7930432621895442,0.7687678312959109
00:02:02,0.8395037830835294,0.8248250972020823
00:02:03,0.7634292984608688,0.7327524259334556
00:02:04,0.7687046413355902,0.6943958932385563
00:02:05,0.7448004285905905,0.7707633146100356
00:02:06,0.787836746916361,0.7456563859871249
00:02:07,0.7774195534087454,0.8065869244629772
00:02:08,0.8454022758841583,0.7728931273972892
00:02:09,0.6789578380255884,0.7291587481980621
00:02:10,0.65682961437863,0.7305021217253838
00:02:11,0.8350376007502545,0.7736204646570702
00:02:12,0.711092046120184,0.7295102863226883
00:02:13,0.8431526397883774,0.7105429538656048
00:02:14,0.7007582745500196,0.6813756089672808
00:02:15,0.7697560617899435,0.7712619467828948
00:02:16,0.656007851682754,0.6944634342434489
00:02:17,0.6792433112264036,0.8399108646292395
00:02:18,0.6886463089400919,0.728883755777711
00:02:19,0.8228876113964063,0.8113905566890548
00:02:20,0.8260490532635023,0.6737221424975118
00:02:21,0.843131834019407,0.7748444902699905
00:02:22,0.7198883901244012,0.7534154011524066
00:02:23,0.727475970107659,0.7110887715122248
00:02:24,0.7666252165855191,0.7677985028261233
00:02:25,0.7879001436144635,0.6556397343187701
00:02:26,0.6993511092326059,0.7307703154883753
00:02:27,0.7235779321939323,0.8041004756156193
