------------------------------------------------------------
Client connecting to 10.0.1.44, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.10 port 41406 connected with 10.0.1.44 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.08 GBytes  9.31 Gbits/sec
[  1] 1.0000-2.0000 sec  1.17 GBytes  10.1 Gbits/sec
[  1] 2.0000-3.0000 sec  1.19 GBytes  10.2 Gbits/sec
[  1] 3.0000-4.0000 sec  1.21 GBytes  10.4 Gbits/sec
[  1] 4.0000-5.0000 sec  1.19 GBytes  10.2 Gbits/sec
[  1] 5.0000-6.0000 sec  1.17 GBytes  10.1 Gbits/sec
[  1] 6.0000-7.0000 sec  1.22 GBytes  10.5 Gbits/sec
[  1] 7.0000-8.0000 sec  1.18 GBytes  10.2 Gbits/sec
[  1] 8.0000-9.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 9.0000-10.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 10.0000-11.0000 sec  1.05 GBytes  8.99 Gbits/sec
[  1] 11.0000-12.0000 sec  1.18 GBytes  10.1 Gbits/sec
[  1] 12.0000-13.0000 sec  1.17 GBytes  10.0 Gbits/sec
[  1] 13.0000-14.0000 sec  1.11 GBytes  9.52 Gbits/sec
[  1] 14.0000-15.0000 sec  1.16 GBytes  9.98 Gbits/sec
[  1] 15.0000-16.0000 sec  1.16 GBytes  9.97 Gbits/sec
[  1] 16.0000-17.0000 sec  1.14 GBytes  9.82 Gbits/sec
[  1] 17.0000-18.0000 sec  1.15 GBytes  9.85 Gbits/sec
[  1] 18.0000-19.0000 sec  1.15 GBytes  9.86 Gbits/sec
[  1] 19.0000-20.0000 sec  1.17 GBytes  10.0 Gbits/sec
[  1] 20.0000-21.0000 sec  1.16 GBytes  9.95 Gbits/sec
[  1] 21.0000-22.0000 sec  1.08 GBytes  9.29 Gbits/sec
[  1] 22.0000-23.0000 sec  1.13 GBytes  9.70 Gbits/sec
[  1] 23.0000-24.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 24.0000-25.0000 sec  1.11 GBytes  9.56 Gbits/sec
[  1] 25.0000-26.0000 sec  1.09 GBytes  9.38 Gbits/sec
[  1] 26.0000-27.0000 sec  1.13 GBytes  9.67 Gbits/sec
[  1] 27.0000-28.0000 sec  1.25 GBytes  10.7 Gbits/sec
[  1] 28.0000-29.0000 sec  1.15 GBytes  9.89 Gbits/sec
[  1] 29.0000-30.0000 sec  1.19 GBytes  10.2 Gbits/sec
[  1] 30.0000-31.0000 sec  1.12 GBytes  9.59 Gbits/sec
[  1] 31.0000-32.0000 sec  1.16 GBytes  9.98 Gbits/sec
[  1] 32.0000-33.0000 sec  1.17 GBytes  10.0 Gbits/sec
[  1] 33.0000-34.0000 sec  1.11 GBytes  9.57 Gbits/sec
[  1] 34.0000-35.0000 sec  1.15 GBytes  9.90 Gbits/sec
[  1] 35.0000-36.0000 sec  1.14 GBytes  9.78 Gbits/sec
[  1] 36.0000-37.0000 sec  1.16 GBytes  9.94 Gbits/sec
[  1] 37.0000-38.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 38.0000-39.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 39.0000-40.0000 sec  1.18 GBytes  10.1 Gbits/sec
[  1] 40.0000-41.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 41.0000-42.0000 sec  1.22 GBytes  10.5 Gbits/sec
[  1] 42.0000-43.0000 sec  1.24 GBytes  10.6 Gbits/sec
[  1] 43.0000-44.0000 sec  1.14 GBytes  9.80 Gbits/sec
[  1] 44.0000-45.0000 sec  1024 MBytes  8.59 Gbits/sec
[  1] 45.0000-46.0000 sec  1.18 GBytes  10.1 Gbits/sec
[  1] 46.0000-47.0000 sec  1.17 GBytes  10.0 Gbits/sec
