(W1,W2,W3,Fail)
0:(0,0,0,0)
1:(0,0,0,1)
2:(0,0,1,0)
3:(0,0,1,1)
4:(0,0,2,0)
5:(0,0,2,1)
6:(0,1,0,0)
7:(0,1,0,1)
8:(0,1,1,0)
9:(0,1,1,1)
10:(0,1,2,0)
11:(0,1,2,1)
12:(0,2,0,0)
13:(0,2,0,1)
14:(0,2,1,0)
15:(0,2,1,1)
16:(0,2,2,0)
17:(0,2,2,1)
18:(0,4,0,0)
19:(0,4,0,1)
20:(0,4,1,0)
21:(0,4,1,1)
22:(0,4,2,0)
23:(0,4,2,1)
24:(1,0,0,0)
25:(1,0,0,1)
26:(1,0,1,0)
27:(1,0,1,1)
28:(1,0,2,0)
29:(1,0,2,1)
30:(1,1,0,0)
31:(1,1,0,1)
32:(1,1,1,0)
33:(1,1,1,1)
34:(1,1,2,0)
35:(1,1,2,1)
36:(1,2,0,0)
37:(1,2,0,1)
38:(1,2,1,0)
39:(1,2,1,1)
40:(1,2,2,0)
41:(1,2,2,1)
42:(1,4,0,0)
43:(1,4,0,1)
44:(1,4,1,0)
45:(1,4,1,1)
46:(1,4,2,0)
47:(1,4,2,1)
48:(2,0,0,0)
49:(2,0,0,1)
50:(2,0,1,0)
51:(2,0,1,1)
52:(2,0,2,0)
53:(2,0,2,1)
54:(2,1,0,0)
55:(2,1,0,1)
56:(2,1,1,0)
57:(2,1,1,1)
58:(2,1,2,0)
59:(2,1,2,1)
60:(2,2,0,0)
61:(2,2,0,1)
62:(2,2,1,0)
63:(2,2,1,1)
64:(2,2,2,0)
65:(2,2,2,1)
66:(2,4,0,0)
67:(2,4,0,1)
68:(2,4,1,0)
69:(2,4,1,1)
70:(2,4,2,0)
71:(2,4,2,1)
72:(3,0,0,0)
73:(3,0,0,1)
74:(3,0,1,0)
75:(3,0,1,1)
76:(3,0,2,0)
77:(3,0,2,1)
78:(3,1,0,0)
79:(3,1,0,1)
80:(3,1,1,0)
81:(3,1,1,1)
82:(3,1,2,0)
83:(3,1,2,1)
84:(3,2,0,0)
85:(3,2,0,1)
86:(3,2,1,0)
87:(3,2,1,1)
88:(3,2,2,0)
89:(3,2,2,1)
90:(3,4,0,0)
91:(3,4,0,1)
92:(3,4,1,0)
93:(3,4,1,1)
94:(3,4,2,0)
95:(3,4,2,1)
96:(4,0,0,0)
97:(4,0,0,1)
98:(4,0,1,0)
99:(4,0,1,1)
100:(4,0,2,0)
101:(4,0,2,1)
102:(4,1,0,0)
103:(4,1,0,1)
104:(4,1,1,0)
105:(4,1,1,1)
106:(4,1,2,0)
107:(4,1,2,1)
108:(4,2,0,0)
109:(4,2,0,1)
110:(4,2,1,0)
111:(4,2,1,1)
112:(4,2,2,0)
113:(4,2,2,1)
114:(4,4,0,0)
115:(4,4,0,1)
116:(4,4,1,0)
117:(4,4,1,1)
118:(4,4,2,0)
119:(4,4,2,1)
120:(5,0,0,0)
121:(5,0,0,1)
122:(5,0,1,0)
123:(5,0,1,1)
124:(5,0,2,0)
125:(5,0,2,1)
126:(5,1,0,0)
127:(5,1,0,1)
128:(5,1,1,0)
129:(5,1,1,1)
130:(5,1,2,0)
131:(5,1,2,1)
132:(5,2,0,0)
133:(5,2,0,1)
134:(5,2,1,0)
135:(5,2,1,1)
136:(5,2,2,0)
137:(5,2,2,1)
138:(5,4,0,0)
139:(5,4,0,1)
140:(5,4,1,0)
141:(5,4,1,1)
142:(5,4,2,0)
143:(5,4,2,1)
144:(6,0,0,0)
145:(6,0,0,1)
146:(6,0,1,0)
147:(6,0,1,1)
148:(6,0,2,0)
149:(6,0,2,1)
150:(6,1,0,0)
151:(6,1,0,1)
152:(6,1,1,0)
153:(6,1,1,1)
154:(6,1,2,0)
155:(6,1,2,1)
156:(6,2,0,0)
157:(6,2,0,1)
158:(6,2,1,0)
159:(6,2,1,1)
160:(6,2,2,0)
161:(6,2,2,1)
162:(6,4,0,0)
163:(6,4,0,1)
164:(6,4,1,0)
165:(6,4,1,1)
166:(6,4,2,0)
167:(6,4,2,1)
