Time,Transfer (GBytes),Bandwidth (Gbits/sec)
00:00:00,1.07,9.21
00:00:01,1.2,10.3
00:00:02,1.14,9.75
00:00:03,1.03,8.81
00:00:04,1.19,10.2
00:00:05,1.18,10.1
00:00:06,1.19,10.2
00:00:07,1.18,10.2
00:00:08,1.23,10.5
00:00:09,1.14,9.8
00:00:10,1.16,9.96
00:00:11,1.16,10.0
00:00:12,1.2,10.3
00:00:13,1.21,10.4
00:00:14,1.2,10.3
00:00:15,1.17,10.1
00:00:16,1.14,9.78
00:00:17,1.15,9.9
00:00:18,1.17,10.1
00:00:19,1.16,9.96
00:00:20,1.14,9.77
00:00:21,1.13,9.7
00:00:22,1.14,9.75
00:00:23,1.23,10.5
00:00:24,1.14,9.82
00:00:25,1.16,9.98
00:00:26,1.11,9.53
00:00:27,1.12,9.66
00:00:28,1.15,9.85
00:00:29,1.14,9.79
00:00:30,1.11,9.53
00:00:31,1.2,10.3
00:00:32,1.16,9.92
00:00:33,1.2,10.3
00:00:34,1.12,9.63
00:00:35,1.22,10.5
00:00:36,1.18,10.2
00:00:37,1.17,10.1
00:00:38,1.07,9.19
00:00:39,1.14,9.77
00:00:40,1.0,8.61
00:00:41,1.11,9.5
00:00:42,1.13,9.68
00:00:43,1.11,9.57
00:00:44,1.13,9.69
00:00:45,1.08,9.27
00:00:46,1.14,9.78
00:00:47,1.11,9.57
00:00:48,1.13,9.69
00:00:49,1.13,9.74
00:00:50,1.1,9.46
00:00:51,1.16,9.93
00:00:52,1.13,9.73
00:00:53,1.15,9.88
00:00:54,1.07,9.21
00:00:55,1.15,9.89
00:00:56,1.11,9.51
00:00:57,1.11,9.54
00:00:58,1.13,9.72
00:00:59,1.13,9.7
00:01:00,1.13,9.7
00:01:01,1.16,9.94
00:01:02,1.13,9.67
00:01:03,1.1,9.42
00:01:04,1.12,9.6
00:01:05,1.13,9.68
00:01:06,1.16,9.94
00:01:07,1.15,9.91
00:01:08,1.18,10.1
00:01:09,1.11,9.55
00:01:10,1.18,10.1
00:01:11,1.18,10.2
00:01:12,1.18,10.1
00:01:13,1.2,10.3
00:01:14,1.19,10.2
00:01:15,1.2,10.3
00:01:16,1.17,10.0
00:01:17,1.11,9.5
00:01:18,1.09,9.34
00:01:19,1.12,9.61
00:01:20,1.13,9.67
00:01:21,1.11,9.55
00:01:22,1.16,9.99
00:01:23,1.14,9.81
00:01:24,1.14,9.82
00:01:25,1.14,9.78
00:01:26,1.16,9.92
00:01:27,1.14,9.8
00:01:28,1.16,10.0
00:01:29,1.2,10.3
00:01:30,1.13,9.7
00:01:31,1.06,9.15
00:01:32,1.06,9.12
00:01:33,1.05,8.99
00:01:34,1.12,9.6
00:01:35,1.12,9.66
00:01:36,1.14,9.75
00:01:37,1.13,9.73
00:01:38,1.16,9.96
00:01:39,1.08,9.27
00:01:40,1.08,9.28
00:01:41,1.03,8.88
00:01:42,1.11,9.5
00:01:43,1.13,9.75
00:01:44,1.12,9.6
00:01:45,1.13,9.7
00:01:46,1.07,9.2
00:01:47,1.09,9.32
00:01:48,1.06,9.15
00:01:49,1.09,9.34
00:01:50,1.08,9.29
00:01:51,1.12,9.61
00:01:52,1.15,9.87
00:01:53,1.1,9.42
00:01:54,1.09,9.36
00:01:55,1.07,9.2
00:01:56,1.05,9.06
00:01:57,1.17,10.0
00:01:58,1.12,9.66
00:01:59,1.15,9.89
00:02:00,0.907221719930934,0.9814368977597765
00:02:01,0.996803338838391,0.9007528111520351
00:02:02,0.9412181580720915,0.9997032320685633
00:02:03,0.9624911619855507,0.9889182192316625
00:02:04,0.9728391834833664,0.9181410362845615
00:02:05,0.9897286299478474,0.9220545487889116
00:02:06,0.9705270946392586,0.954995203937547
00:02:07,0.9711111275398102,0.9147651492403026
00:02:08,0.9796488918141613,0.9666636093684331
00:02:09,0.9017943467966592,0.9188280002581495
00:02:10,0.9598045004441781,0.9804970357139136
00:02:11,0.9339816109079399,0.9647726822356834
00:02:12,0.9279816833065861,0.90668813286559
00:02:13,0.9818409527306116,0.9523029462569523
00:02:14,0.9452965634114333,0.9666548598360065
00:02:15,0.9255816373002964,0.941715072106629
00:02:16,0.9340214941788517,0.9560522258574136
00:02:17,0.9785232940734337,0.9531896300674874
00:02:18,0.9711755214732446,0.9498512136175626
00:02:19,0.9059032329234706,0.9493662867001764
00:02:20,0.9775478988409236,0.9614409419010277
00:02:21,0.9129678722136133,0.9727526327871143
00:02:22,0.9088782880550831,0.9881815983839799
00:02:23,0.909408055399333,0.9589720526011007
00:02:24,0.9790123116022224,0.9987748794936024
00:02:25,0.9557919185905085,0.9381390609742554
00:02:26,0.9108875264500721,0.982887093370094
00:02:27,0.9937125306865683,0.98915992598795
00:02:28,0.9787705827884673,0.9461219369193786
