Time,Transfer (GBytes),Bandwidth (Gbits/sec)
00:00:00,1.08,9.31
00:00:01,1.17,10.1
00:00:02,1.19,10.2
00:00:03,1.21,10.4
00:00:04,1.19,10.2
00:00:05,1.17,10.1
00:00:06,1.22,10.5
00:00:07,1.18,10.2
00:00:08,1.2,10.3
00:00:09,1.2,10.3
00:00:10,1.05,8.99
00:00:11,1.18,10.1
00:00:12,1.17,10.0
00:00:13,1.11,9.52
00:00:14,1.16,9.98
00:00:15,1.16,9.97
00:00:16,1.14,9.82
00:00:17,1.15,9.85
00:00:18,1.15,9.86
00:00:19,1.17,10.0
00:00:20,1.16,9.95
00:00:21,1.08,9.29
00:00:22,1.13,9.7
00:00:23,1.2,10.3
00:00:24,1.11,9.56
00:00:25,1.09,9.38
00:00:26,1.13,9.67
00:00:27,1.25,10.7
00:00:28,1.15,9.89
00:00:29,1.19,10.2
00:00:30,1.12,9.59
00:00:31,1.16,9.98
00:00:32,1.17,10.0
00:00:33,1.11,9.57
00:00:34,1.15,9.9
00:00:35,1.14,9.78
00:00:36,1.16,9.94
00:00:37,1.2,10.3
00:00:38,1.2,10.3
00:00:39,1.18,10.1
00:00:40,1.2,10.3
00:00:41,1.22,10.5
00:00:42,1.24,10.6
00:00:43,1.14,9.8
00:00:44,1.18,10.1
00:00:45,1.17,10.0
00:00:46,1.15,9.88
00:00:47,1.2,10.3
00:00:48,1.19,10.2
00:00:49,1.12,9.66
00:00:50,1.23,10.6
00:00:51,1.2,10.3
00:00:52,1.2,10.3
00:00:53,1.22,10.4
00:00:54,1.19,10.2
00:00:55,1.23,10.6
00:00:56,1.18,10.1
00:00:57,1.21,10.4
00:00:58,1.21,10.4
00:00:59,1.2,10.3
00:01:00,1.13,9.73
00:01:01,1.22,10.4
00:01:02,1.21,10.4
00:01:03,1.2,10.3
00:01:04,1.21,10.4
00:01:05,1.14,9.76
00:01:06,1.21,10.4
00:01:07,1.21,10.4
00:01:08,1.17,10.1
00:01:09,1.2,10.3
00:01:10,1.25,10.8
00:01:11,1.2,10.3
00:01:12,1.23,10.6
00:01:13,1.18,10.1
00:01:14,1.18,10.2
00:01:15,1.15,9.84
00:01:16,1.01,8.65
00:01:17,1.18,10.1
00:01:18,1.15,9.85
00:01:19,1.16,9.97
00:01:20,1.15,9.85
00:01:21,1.11,9.55
00:01:22,1.1,9.45
00:01:23,1.15,9.89
00:01:24,1.21,10.4
00:01:25,1.16,9.98
00:01:26,1.17,10.0
00:01:27,1.18,10.1
00:01:28,1.17,10.1
00:01:29,1.13,9.71
00:01:30,1.1,9.49
00:01:31,1.12,9.63
00:01:32,1.07,9.16
00:01:33,1.13,9.73
00:01:34,1.16,9.99
00:01:35,1.06,9.07
00:01:36,1.07,9.18
00:01:37,1.06,9.11
00:01:38,1.15,9.86
00:01:39,1.18,10.1
00:01:40,1.18,10.2
00:01:41,1.19,10.2
00:01:42,1.17,10.1
00:01:43,1.18,10.2
00:01:44,1.16,9.92
00:01:45,1.18,10.1
00:01:46,1.18,10.2
00:01:47,1.15,9.85
00:01:48,1.12,9.62
00:01:49,1.19,10.2
00:01:50,1.14,9.76
00:01:51,1.15,9.91
00:01:52,1.24,10.7
00:01:53,1.19,10.2
00:01:54,1.21,10.4
00:01:55,1.18,10.1
00:01:56,1.15,9.91
00:01:57,1.15,9.88
00:01:58,1.16,9.96
00:01:59,1.15,9.89
00:02:00,1.16,9.96
00:02:01,1.18,10.1
00:02:02,1.15,9.91
00:02:03,1.15,9.85
00:02:04,1.13,9.7
00:02:05,1.19,10.2
00:02:06,1.13,9.71
00:02:07,1.13,9.68
00:02:08,1.19,10.3
00:02:09,1.17,10.1
00:02:10,1.16,9.99
00:02:11,1.1,9.47
00:02:12,1.11,9.52
00:02:13,1.11,9.52
00:02:14,1.1,9.42
00:02:15,1.13,9.73
00:02:16,1.17,10.0
00:02:17,1.17,10.1
00:02:18,1.14,9.82
00:02:19,1.14,9.8
00:02:20,1.06,9.12
00:02:21,1.1,9.41
00:02:22,1.18,10.1
00:02:23,1.15,9.9
00:02:24,1.11,9.53
00:02:25,1.12,9.6
00:02:26,1.15,9.85
00:02:27,1.0,8.6
00:02:28,1.17,10.1
00:02:29,1.13,9.72
00:02:30,1.2,10.3
00:02:31,1.19,10.2
00:02:32,1.16,9.98
00:02:33,1.09,9.37
00:02:34,1.18,10.1
00:02:35,1.2,10.3
00:02:36,1.19,10.3
00:02:37,1.19,10.2
00:02:38,1.18,10.2
00:02:39,1.23,10.6
00:02:40,1.19,10.2
00:02:41,1.21,10.4
00:02:42,1.22,10.5
00:02:43,1.2,10.3
00:02:44,1.21,10.4
00:02:45,1.21,10.4
00:02:46,1.2,10.3
00:02:47,1.2,10.3
00:02:48,1.04,8.97
00:02:49,1.0,8.6
00:02:50,1.18,10.1
00:02:51,1.12,9.61
00:02:52,1.14,9.77
00:02:53,1.13,9.71
00:02:54,1.15,9.89
00:02:55,1.1,9.42
00:02:56,1.08,9.28
00:02:57,1.11,9.52
00:02:58,1.08,9.26
00:02:59,1.03,8.85
00:03:00,1.02,8.77
00:03:01,1.02,8.74
00:03:02,1.08,9.25
00:03:03,1.1,9.46
00:03:04,1.15,9.91
00:03:05,1.14,9.77
00:03:06,1.15,9.87
00:03:07,1.16,9.98
00:03:08,1.11,9.55
00:03:09,1.13,9.74
00:03:10,1.08,9.27
00:03:11,1.12,9.65
00:03:12,1.09,9.35
00:03:13,1.09,9.36
00:03:14,1.12,9.64
00:03:15,1.11,9.54
00:03:16,1.1,9.45
00:03:17,1.12,9.63
00:03:18,1.13,9.73
00:03:19,1.11,9.53
00:03:20,1.14,9.8
00:03:21,1.12,9.66
00:03:22,1.1,9.49
00:03:23,1.11,9.57
00:03:24,1.14,9.77
00:03:25,1.14,9.8
00:03:26,1.15,9.85
00:03:27,1.14,9.8
00:03:28,1.14,9.77
00:03:29,1.11,9.56
00:03:30,1.13,9.73
00:03:31,1.13,9.74
00:03:32,1.16,9.93
00:03:33,1.18,10.1
00:03:34,1.12,9.63
00:03:35,1.18,10.2
00:03:36,1.13,9.73
00:03:37,1.13,9.71
00:03:38,1.11,9.51
00:03:39,1.1,9.49
00:03:40,1.12,9.61
00:03:41,1.09,9.33
00:03:42,1.05,8.99
00:03:43,1.07,9.18
00:03:44,1.11,9.53
00:03:45,1.08,9.27
00:03:46,1.11,9.55
00:03:47,1.07,9.2
00:03:48,1.13,9.68
00:03:49,1.1,9.47
00:03:50,1.09,9.37
00:03:51,1.11,9.52
00:03:52,1.13,9.67
00:03:53,1.08,9.31
00:03:54,1.12,9.65
00:03:55,1.15,9.88
00:03:56,1.17,10.1
00:03:57,1.16,9.93
00:03:58,1.14,9.81
00:03:59,1.17,10.1
00:04:00,1.13,9.74
00:04:01,1.12,9.64
00:04:02,1.18,10.1
00:04:03,1.17,10.0
00:04:04,1.16,9.98
00:04:05,1.16,9.98
00:04:06,1.16,9.96
00:04:07,1.18,10.1
00:04:08,1.16,9.97
00:04:09,1.2,10.3
00:04:10,1.18,10.1
00:04:11,1.17,10.1
00:04:12,1.13,9.69
00:04:13,1.19,10.2
00:04:14,1.17,10.1
00:04:15,1.17,10.1
00:04:16,1.17,10.1
00:04:17,1.17,10.0
00:04:18,1.18,10.1
00:04:19,1.16,9.93
00:04:20,1.17,10.0
00:04:21,1.14,9.76
00:04:22,1.15,9.91
00:04:23,1.12,9.64
00:04:24,1.12,9.62
00:04:25,1.07,9.2
00:04:26,1.1,9.45
00:04:27,1.12,9.65
00:04:28,1.14,9.81
00:04:29,1.13,9.7
00:04:30,1.16,9.94
00:04:31,1.12,9.66
00:04:32,1.17,10.0
00:04:33,1.14,9.83
00:04:34,1.14,9.79
00:04:35,1.17,10.1
00:04:36,1.16,9.99
00:04:37,1.14,9.83
00:04:38,1.18,10.1
00:04:39,1.14,9.8
00:04:40,1.1,9.44
00:04:41,1.15,9.87
00:04:42,1.12,9.59
00:04:43,1.09,9.36
00:04:44,1.07,9.21
00:04:45,1.12,9.6
00:04:46,1.18,10.2
00:04:47,1.11,9.56
00:04:48,1.12,9.64
00:04:49,1.1,9.46
00:04:50,1.08,9.26
00:04:51,1.1,9.44
00:04:52,1.08,9.23
00:04:53,1.08,9.31
00:04:54,1.04,8.91
00:04:55,1.12,9.58
00:04:56,1.08,9.27
00:04:57,1.14,9.82
00:04:58,1.1,9.46
00:04:59,1.13,9.73
00:05:00,1.13,9.69
00:05:01,1.17,10.1
00:05:02,1.15,9.91
00:05:03,1.18,10.1
00:05:04,1.18,10.2
00:05:05,1.15,9.84
00:05:06,1.17,10.0
00:05:07,1.11,9.52
00:05:08,1.14,9.77
00:05:09,1.15,9.91
00:05:10,1.14,9.82
00:05:11,1.19,10.2
00:05:12,1.18,10.1
00:05:13,1.19,10.2
00:05:14,1.18,10.1
00:05:15,1.16,9.94
00:05:16,1.14,9.81
00:05:17,1.15,9.88
00:05:18,1.18,10.1
00:05:19,1.17,10.1
00:05:20,1.17,10.1
00:05:21,1.17,10.0
00:05:22,1.18,10.1
00:05:23,1.18,10.1
00:05:24,1.18,10.1
00:05:25,1.18,10.2
00:05:26,1.19,10.2
00:05:27,1.18,10.1
00:05:28,1.16,9.93
00:05:29,1.13,9.7
00:05:30,1.24,10.7
00:05:31,1.1,9.43
00:05:32,1.18,10.1
00:05:33,1.11,9.54
00:05:34,1.14,9.82
00:05:35,1.15,9.86
00:05:36,1.1,9.45
00:05:37,1.11,9.57
00:05:38,1.17,10.1
00:05:39,1.14,9.79
00:05:40,1.16,9.96
00:05:41,1.18,10.1
00:05:42,1.17,10.0
00:05:43,1.18,10.2
00:05:44,1.15,9.84
00:05:45,1.16,9.99
00:05:46,1.16,9.98
00:05:47,1.17,10.1
00:05:48,1.19,10.2
00:05:49,1.17,10.0
00:05:50,1.15,9.84
00:05:51,1.16,9.98
00:05:52,1.15,9.91
00:05:53,1.2,10.3
00:05:54,1.18,10.1
00:05:55,1.16,9.99
00:05:56,1.23,10.5
00:05:57,1.19,10.2
00:05:58,1.2,10.3
00:05:59,1.2,10.3
00:06:00,1.13,9.74
00:06:01,1.11,9.52
00:06:02,1.16,9.93
00:06:03,1.16,10.0
00:06:04,1.19,10.3
00:06:05,1.15,9.85
00:06:06,1.18,10.2
00:06:07,1.19,10.2
00:06:08,1.17,10.1
00:06:09,1.15,9.85
00:06:10,1.17,10.1
00:06:11,1.16,9.94
00:06:12,1.14,9.81
00:06:13,1.15,9.86
00:06:14,1.16,9.95
00:06:15,1.17,10.0
00:06:16,1.19,10.2
00:06:17,1.15,9.87
00:06:18,1.17,10.1
00:06:19,1.19,10.2
00:06:20,1.17,10.1
00:06:21,1.08,9.32
00:06:22,1.15,9.89
00:06:23,1.19,10.2
00:06:24,1.18,10.1
00:06:25,1.15,9.91
00:06:26,1.14,9.8
00:06:27,1.17,10.1
00:06:28,1.15,9.86
00:06:29,1.19,10.2
00:06:30,1.15,9.85
00:06:31,1.12,9.65
00:06:32,1.11,9.54
00:06:33,1.2,10.3
00:06:34,1.15,9.89
00:06:35,1.05,9.06
00:06:36,1.13,9.72
00:06:37,1.18,10.1
00:06:38,1.15,9.85
00:06:39,1.11,9.54
00:06:40,1.14,9.79
00:06:41,1.15,9.85
00:06:42,1.12,9.58
00:06:43,1.14,9.75
00:06:44,1.12,9.61
00:06:45,1.09,9.33
00:06:46,1.14,9.79
00:06:47,1.15,9.86
00:06:48,1.14,9.83
00:06:49,1.11,9.58
00:06:50,1.08,9.27
00:06:51,1.16,9.99
00:06:52,1.11,9.55
00:06:53,1.16,9.95
00:06:54,1.15,9.87
00:06:55,1.16,9.96
00:06:56,1.13,9.69
00:06:57,1.22,10.5
00:06:58,1.11,9.57
00:06:59,1.18,10.1
00:07:00,1.13,9.74
00:07:01,1.15,9.87
00:07:02,1.15,9.87
00:07:03,1.18,10.1
00:07:04,1.15,9.91
00:07:05,1.14,9.79
00:07:06,1.15,9.88
00:07:07,1.13,9.67
00:07:08,1.14,9.77
00:07:09,1.14,9.76
00:07:10,1.14,9.75
00:07:11,1.09,9.39
00:07:12,1.13,9.69
00:07:13,1.1,9.48
00:07:14,1.08,9.27
00:07:15,1.04,8.92
00:07:16,1.08,9.25
00:07:17,1.1,9.47
00:07:18,1.15,9.91
00:07:19,1.16,9.98
00:07:20,1.17,10.0
00:07:21,1.14,9.79
00:07:22,1.12,9.6
00:07:23,1.14,9.81
00:07:24,1.1,9.43
00:07:25,1.14,9.83
00:07:26,1.13,9.71
00:07:27,1.14,9.8
00:07:28,1.14,9.82
00:07:29,1.11,9.55
00:07:30,1.14,9.79
00:07:31,1.08,9.27
00:07:32,1.15,9.87
00:07:33,1.13,9.69
00:07:34,1.16,9.95
00:07:35,1.16,9.97
00:07:36,1.1,9.48
00:07:37,1.12,9.66
00:07:38,1.13,9.67
00:07:39,1.14,9.76
00:07:40,1.12,9.63
00:07:41,1.11,9.52
00:07:42,1.11,9.55
00:07:43,1.12,9.59
00:07:44,1.14,9.76
00:07:45,1.02,8.77
00:07:46,1.06,9.12
00:07:47,1.08,9.25
00:07:48,1.06,9.12
00:07:49,1.13,9.73
00:07:50,1.05,9.03
00:07:51,1.08,9.27
00:07:52,1.1,9.41
00:07:53,1.04,8.93
00:07:54,1.15,9.89
00:07:55,1.18,10.1
00:07:56,1.1,9.49
00:07:57,1.08,9.3
00:07:58,1.12,9.63
00:07:59,1.09,9.4
00:08:00,1.06,9.14
00:08:01,1.06,9.12
00:08:02,1.1,9.48
00:08:03,1.1,9.43
00:08:04,1.02,8.75
00:08:05,1.13,9.7
00:08:06,1.07,9.16
00:08:07,1.12,9.6
00:08:08,1.1,9.47
00:08:09,1.12,9.62
00:08:10,1.09,9.38
00:08:11,1.11,9.52
00:08:12,1.11,9.55
00:08:13,1.11,9.52
00:08:14,1.09,9.36
00:08:15,1.12,9.66
00:08:16,1.08,9.3
00:08:17,1.15,9.88
00:08:18,1.13,9.73
00:08:19,1.12,9.64
00:08:20,1.15,9.84
00:08:21,1.15,9.89
00:08:22,1.14,9.82
00:08:23,1.11,9.53
00:08:24,1.1,9.49
00:08:25,1.11,9.55
00:08:26,1.06,9.09
00:08:27,1.14,9.8
00:08:28,1.11,9.57
00:08:29,1.11,9.57
00:08:30,1.05,8.99
00:08:31,1.07,9.19
00:08:32,1.07,9.23
00:08:33,1.12,9.65
00:08:34,1.09,9.35
00:08:35,1.11,9.52
00:08:36,1.03,8.86
00:08:37,1.02,8.8
00:08:38,1.08,9.29
00:08:39,1.09,9.33
00:08:40,1.09,9.38
00:08:41,1.08,9.31
00:08:42,1.07,9.23
00:08:43,1.06,9.11
00:08:44,1.09,9.37
00:08:45,1.11,9.56
00:08:46,1.09,9.33
00:08:47,1.03,8.83
00:08:48,1.04,8.97
00:08:49,1.11,9.55
00:08:50,1.09,9.35
00:08:51,1.04,8.9
00:08:52,1.13,9.69
00:08:53,1.08,9.27
00:08:54,1.12,9.66
00:08:55,1.1,9.48
00:08:56,1.1,9.42
00:08:57,1.1,9.42
00:08:58,1.09,9.37
00:08:59,1.08,9.25
00:09:00,1.13,9.74
00:09:01,1.01,8.66
00:09:02,1.0,8.61
00:09:03,1.05,9.02
00:09:04,1.08,9.32
00:09:05,1.09,9.34
00:09:06,1.09,9.35
00:09:07,1.13,9.68
00:09:08,1.09,9.39
00:09:09,1.07,9.2
00:09:10,1.03,8.85
00:09:11,1.06,9.12
00:09:12,1.09,9.34
00:09:13,1.07,9.19
00:09:14,1.1,9.41
00:09:15,1.07,9.19
00:09:16,1.1,9.47
00:09:17,1.12,9.59
00:09:18,1.1,9.49
00:09:19,1.09,9.38
00:09:20,1.07,9.17
00:09:21,1.12,9.63
00:09:22,1.09,9.35
00:09:23,1.16,10.0
00:09:24,1.12,9.62
00:09:25,1.12,9.64
00:09:26,1.1,9.42
00:09:27,1.09,9.34
00:09:28,1.1,9.48
00:09:29,1.12,9.64
00:09:30,1.18,10.1
00:09:31,1.13,9.7
00:09:32,1.12,9.61
00:09:33,1.01,8.66
00:09:34,1.05,9.02
00:09:35,1.05,9.03
00:09:36,1.02,8.72
00:09:37,1.0,8.61
00:09:38,1.01,8.66
00:09:39,1.02,8.72
00:09:40,1.04,8.93
00:09:41,1.0,8.59
00:09:42,1.03,8.88
00:09:43,1.01,8.7
00:09:44,1.14,9.8
00:09:45,1.15,9.9
00:09:46,1.08,9.31
00:09:47,1.13,9.69
00:09:48,1.09,9.39
